employee_id,project_id,date,planned_hours,actual_hours,capacity
E001,P003,2026-01-01,0.72,0.56,7.2
E002,P001,2026-01-01,4.81,5.64,8.0
E003,P002,2026-01-01,0.23,1.11,4.0
E004,P002,2026-01-01,1.53,0.26,7.2
E005,P001,2026-01-01,4.45,4.89,7.2
E006,P001,2026-01-01,3.46,2.62,8.0
E007,P003,2026-01-01,1.6,0.0,4.0
E008,P003,2026-01-01,1.82,2.96,4.0
E009,P003,2026-01-01,2.75,4.69,7.2
E010,P001,2026-01-01,0.28,0.71,6.0
E001,P001,2026-01-02,3.24,1.3,7.2
E002,P001,2026-01-02,7.73,8.96,8.0
E003,P001,2026-01-02,0.06,0.0,4.0
E004,P003,2026-01-02,4.92,5.36,7.2
E005,P003,2026-01-02,1.25,0.81,7.2
E006,P002,2026-01-02,5.3,4.55,8.0
E007,P002,2026-01-02,0.83,1.1,4.0
E008,P001,2026-01-02,3.88,4.98,4.0
E009,P002,2026-01-02,2.85,4.55,7.2
E010,P003,2026-01-02,5.53,3.89,6.0
E001,P003,2026-01-03,3.75,5.59,7.2
E002,P001,2026-01-03,3.11,2.19,8.0
E003,P001,2026-01-03,2.35,4.21,4.0
E004,P001,2026-01-03,1.01,2.22,7.2
E005,P001,2026-01-03,0.11,0.0,7.2
E006,P001,2026-01-03,1.59,0.0,8.0
E007,P003,2026-01-03,0.8,1.64,4.0
E008,P003,2026-01-03,3.09,1.38,4.0
E009,P003,2026-01-03,4.69,6.35,7.2
E010,P001,2026-01-03,3.74,3.06,6.0
E001,P003,2026-01-04,2.24,1.54,7.2
E002,P003,2026-01-04,4.73,3.83,8.0
E003,P003,2026-01-04,1.89,0.37,4.0
E004,P002,2026-01-04,6.11,7.0,7.2
E005,P003,2026-01-04,5.55,5.53,7.2
E006,P001,2026-01-04,5.69,4.13,8.0
E007,P001,2026-01-04,0.81,2.39,4.0
E008,P001,2026-01-04,1.26,1.29,4.0
E009,P002,2026-01-04,1.0,1.42,7.2
E010,P003,2026-01-04,4.53,3.45,6.0
E001,P003,2026-01-05,2.09,0.73,7.2
E002,P002,2026-01-05,4.99,4.18,8.0
E003,P001,2026-01-05,3.49,4.7,4.0
E004,P002,2026-01-05,6.36,5.66,7.2
E005,P003,2026-01-05,6.45,5.72,7.2
E006,P001,2026-01-05,2.18,2.77,8.0
E007,P001,2026-01-05,3.27,4.71,4.0
E008,P003,2026-01-05,0.66,0.79,4.0
E009,P002,2026-01-05,1.6,0.08,7.2
E010,P003,2026-01-05,1.01,0.0,6.0
E001,P001,2026-01-06,2.91,1.17,7.2
E002,P002,2026-01-06,7.7,6.71,8.0
E003,P002,2026-01-06,2.85,1.44,4.0
E004,P001,2026-01-06,1.92,3.83,7.2
E005,P002,2026-01-06,0.24,0.0,7.2
E006,P001,2026-01-06,1.92,0.5,8.0
E007,P002,2026-01-06,3.94,2.91,4.0
E008,P003,2026-01-06,3.05,2.0,4.0
E009,P003,2026-01-06,5.78,5.66,7.2
E010,P002,2026-01-06,3.8,3.94,6.0
E001,P001,2026-01-07,1.09,1.12,7.2
E002,P001,2026-01-07,6.87,6.17,8.0
E003,P003,2026-01-07,2.84,4.08,4.0
E004,P003,2026-01-07,1.26,2.02,7.2
E005,P003,2026-01-07,6.74,5.29,7.2
E006,P001,2026-01-07,0.91,2.61,8.0
E007,P002,2026-01-07,2.78,1.7,4.0
E008,P002,2026-01-07,3.93,4.0,4.0
E009,P001,2026-01-07,1.74,0.11,7.2
E010,P001,2026-01-07,5.4,5.93,6.0
E001,P001,2026-01-08,2.01,2.81,7.2
E002,P003,2026-01-08,6.85,6.47,8.0
E003,P001,2026-01-08,2.57,0.9,4.0
E004,P002,2026-01-08,4.82,5.14,7.2
E005,P002,2026-01-08,6.77,8.66,7.2
E006,P002,2026-01-08,1.29,1.48,8.0
E007,P002,2026-01-08,1.79,3.77,4.0
E008,P001,2026-01-08,0.07,0.05,4.0
E009,P003,2026-01-08,5.19,4.42,7.2
E010,P003,2026-01-08,2.21,1.27,6.0
E001,P002,2026-01-09,4.25,6.16,7.2
E002,P003,2026-01-09,7.14,7.66,8.0
E003,P002,2026-01-09,1.4,1.98,4.0
E004,P003,2026-01-09,3.55,2.33,7.2
E005,P001,2026-01-09,3.59,3.88,7.2
E006,P001,2026-01-09,0.35,2.33,8.0
E007,P002,2026-01-09,3.82,5.48,4.0
E008,P003,2026-01-09,2.99,4.8,4.0
E009,P001,2026-01-09,3.08,4.95,7.2
E010,P003,2026-01-09,5.88,4.18,6.0
E001,P001,2026-01-10,2.77,4.18,7.2
E002,P003,2026-01-10,1.36,1.58,8.0
E003,P003,2026-01-10,3.38,5.1,4.0
E004,P002,2026-01-10,0.7,1.16,7.2
E005,P002,2026-01-10,2.58,1.6,7.2
E006,P002,2026-01-10,7.02,7.98,8.0
E007,P001,2026-01-10,0.55,1.38,4.0
E008,P003,2026-01-10,1.17,2.41,4.0
E009,P003,2026-01-10,1.84,2.29,7.2
E010,P002,2026-01-10,0.03,0.54,6.0
E001,P001,2026-01-11,0.51,0.1,7.2
E002,P002,2026-01-11,7.12,6.47,8.0
E003,P002,2026-01-11,0.38,0.69,4.0
E004,P002,2026-01-11,2.36,0.98,7.2
E005,P002,2026-01-11,2.06,2.43,7.2
E006,P002,2026-01-11,2.0,0.16,8.0
E007,P003,2026-01-11,1.44,0.0,4.0
E008,P001,2026-01-11,3.31,2.4,4.0
E009,P001,2026-01-11,3.29,4.66,7.2
E010,P002,2026-01-11,3.24,3.79,6.0
E001,P001,2026-01-12,6.98,7.84,7.2
E002,P003,2026-01-12,6.36,5.44,8.0
E003,P002,2026-01-12,0.31,0.0,4.0
E004,P001,2026-01-12,0.58,0.3,7.2
E005,P001,2026-01-12,0.42,2.08,7.2
E006,P003,2026-01-12,2.0,2.2,8.0
E007,P001,2026-01-12,2.64,1.76,4.0
E008,P001,2026-01-12,2.95,3.17,4.0
E009,P002,2026-01-12,5.26,3.45,7.2
E010,P002,2026-01-12,2.14,3.17,6.0
E001,P001,2026-01-13,2.46,0.83,7.2
E002,P003,2026-01-13,0.33,1.75,8.0
E003,P001,2026-01-13,1.9,0.29,4.0
E004,P001,2026-01-13,3.41,2.1,7.2
E005,P002,2026-01-13,4.68,2.87,7.2
E006,P002,2026-01-13,5.08,3.26,8.0
E007,P003,2026-01-13,0.06,1.79,4.0
E008,P001,2026-01-13,2.16,2.89,4.0
E009,P003,2026-01-13,6.8,8.27,7.2
E010,P003,2026-01-13,4.81,5.51,6.0
E001,P003,2026-01-14,4.63,4.46,7.2
E002,P003,2026-01-14,6.57,7.07,8.0
E003,P001,2026-01-14,3.84,5.47,4.0
E004,P001,2026-01-14,0.5,0.0,7.2
E005,P002,2026-01-14,0.28,0.75,7.2
E006,P003,2026-01-14,0.57,0.0,8.0
E007,P002,2026-01-14,2.73,2.09,4.0
E008,P003,2026-01-14,1.13,0.0,4.0
E009,P001,2026-01-14,2.51,4.25,7.2
